Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,139.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,135.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,127.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,SCOTT,163,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WINNEBAGO,189,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WORTH,195,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WRIGHT,197,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,ALLAMAKEE,5,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,BLACK HAWK,13,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,BREMER,17,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,BUCHANAN,19,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,CHICKASAW,37,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,CLAYTON,43,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,DELAWARE,55,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,DUBUQUE,61,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,FAYETTE,65,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,HOWARD,89,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHEAST,30,WINNESHIEK,191,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,BUENA VISTA,21,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,CHEROKEE,35,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,CLAY,41,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,DICKINSON,59,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,EMMET,63,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,LYON,119,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,O BRIEN,141,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,OSCEOLA,143,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,PALO ALTO,147,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,PLYMOUTH,149,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,POCAHONTAS,151,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,NORTHWEST,10,SIOUX,167,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,APPANOOSE,7,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,44.5,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,CLARKE,39,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,76.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,DECATUR,53,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,61.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,LUCAS,117,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,MADISON,121,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,101.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,MARION,125,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,MONROE,135,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,67.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,RINGGOLD,159,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,71.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,UNION,175,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,WARREN,181,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,103.5,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTH CENTRAL,80,WAYNE,185,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,55.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,DAVIS,51,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,52.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,DES MOINES,57,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,HENRY,87,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,JEFFERSON,101,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,102.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,KEOKUK,107,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,113,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,LEE,111,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,LOUISA,115,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,MAHASKA,123,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,VAN BUREN,177,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,WAPELLO,179,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,92.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHEAST,90,WASHINGTON,183,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,ADAIR,1,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,104.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,ADAMS,3,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,109.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,CASS,29,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,FREMONT,71,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,MILLS,129,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,MONTGOMERY,137,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,PAGE,145,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116.2,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,POTTAWATTAMIE,155,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,SOUTHWEST,70,TAYLOR,173,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,91.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,AUDUBON,9,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,CALHOUN,25,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,CARROLL,27,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,105.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,CRAWFORD,47,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.3,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,GREENE,73,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124.6,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,GUTHRIE,77,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,113.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,HARRISON,85,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.9,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,IDA,93,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151.4,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,MONONA,133,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115.1,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,SAC,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.7,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,SHELBY,165,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.8,
SURVEY,2012,YEAR,,COUNTY,IOWA,19,WEST CENTRAL,40,WOODBURY,193,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,CLARE,35,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,GLADWIN,51,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,GRATIOT,57,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,ISABELLA,73,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.3,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MECOSTA,107,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MIDLAND,111,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.1,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,MONTCALM,117,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141.4,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,CENTRAL,50,OSCEOLA,133,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134.9,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,ARENAC,11,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146.2,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,BAY,17,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.2,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,HURON,63,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144.6,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,SAGINAW,145,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,SANILAC,151,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158.7,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,EAST CENTRAL,60,TUSCOLA,157,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.3,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,ALCONA,1,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85.8,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,ALPENA,7,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,106.9,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,IOSCO,69,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.7,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,MONTMORENCY,119,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,111,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,OGEMAW,129,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122.5,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,OTHER (COMBINED) COUNTIES,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85.6,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,OTSEGO,137,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,86.1,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHEAST,30,PRESQUE ISLE,141,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.6,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHWEST,20,ANTRIM,9,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,92,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHWEST,20,CHARLEVOIX,29,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHWEST,20,EMMET,47,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116.5,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,NORTHWEST,20,GRAND TRAVERSE,55,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,69.5,
